date,sentiment_negative,sentiment_neutral,sentiment_positive,sentiment_score
2021-01-27,0.031,0.836,0.133,0.996
2021-01-28,0.047,0.84225,0.11075,0.5235
2021-01-29,0.0802,0.8524,0.0678,0.4322
2021-02-01,0.004,0.892,0.104,0.991
2021-02-02,0.06875,0.85525,0.0755,0.37075
2021-02-03,0.0075,0.8665,0.126,0.925
2021-02-04,0.0198,0.8524,0.1282,0.9988
2021-02-05,0.029,0.845,0.126,0.76675
2021-02-08,0.032352943,0.8842941,0.083294116,0.49441177
2021-02-09,0.07666667,0.86866665,0.05466667,0.30166668
2021-02-10,0.029333333,0.8741111,0.096777774,0.8654444
2021-02-11,0.015888888,0.8796667,0.10422222,0.997
2021-02-12,0.081,0.809,0.111,0.982
2021-02-16,0.0,0.8395,0.1605,0.7665
2021-02-17,0.0337,0.8617,0.105,0.8567
2021-02-18,0.06572727,0.86945456,0.065,0.17609091
2021-02-19,0.03407692,0.89815384,0.06807692,0.06715385
2021-02-22,0.0382,0.878,0.0838,0.4157
2021-02-23,0.118875,0.791125,0.089875,0.271375
2021-02-24,0.0136,0.947,0.0394,0.4972
2021-02-25,0.0461,0.8361,0.1179,0.7091
2021-02-26,0.041333333,0.84316665,0.115277775,0.5993889
2021-03-01,0.009375,0.810875,0.17975,0.782125
2021-03-02,0.047142856,0.8618571,0.09092857,0.8126429
2021-03-03,0.097,0.7614,0.1416,0.1592
2021-03-04,0.034923077,0.85215384,0.113076925,0.8261539
2021-03-05,0.030111112,0.8579444,0.111833334,0.72966665
2021-03-08,0.030833334,0.87475,0.09441666,0.4795
2021-03-09,0.0135625,0.874375,0.1119375,0.615125
2021-03-10,0.026761904,0.8677619,0.10552381,0.67761904
2021-03-11,0.021,0.87946665,0.09946667,0.72686666
2021-03-12,0.029454546,0.86963636,0.101,0.7295455
2021-03-15,0.042133335,0.8716,0.0864,0.6512
2021-03-16,0.051625,0.869875,0.0785,0.46240625
2021-03-17,0.05277778,0.8650741,0.08218519,0.23344444
2021-03-18,0.024545455,0.87636364,0.099181816,0.7288182
2021-03-19,0.03180769,0.8860769,0.08207692,0.5158077
2021-03-22,0.041647058,0.86808825,0.09026471,0.5792059
2021-03-23,0.024888888,0.8897778,0.08522222,0.63677776
2021-03-24,0.04495238,0.8705238,0.08452381,0.45804763
2021-03-25,0.019947369,0.87994736,0.10010526,0.78173685
2021-03-26,0.024133334,0.88846666,0.08736667,0.7089667
2021-03-29,0.0325,0.8776364,0.08981818,0.4921818
2021-03-30,0.031625,0.88835,0.08,0.405825
2021-03-31,0.02704,0.88974,0.0831,0.58268
2021-04-01,0.018571429,0.88853574,0.092892855,0.7213214
2021-04-05,0.028185185,0.83518517,0.13655555,0.73381484
2021-04-06,0.035666667,0.8397619,0.124714285,0.57371426
2021-04-07,0.036166668,0.874625,0.089208335,0.50591666
2021-04-08,0.03609524,0.8912381,0.07278571,0.20171429
2021-04-09,0.022206897,0.8603448,0.11751724,0.50006896
2021-04-12,0.022275861,0.89751726,0.08024138,0.6908276
2021-04-13,0.02948,0.90612,0.06436,0.56464
2021-04-14,0.021541666,0.8919167,0.0865,0.49891666
2021-04-15,0.0182,0.8915,0.09025,0.6219
2021-04-16,0.030142857,0.86466664,0.10509524,0.52119046
2021-04-19,0.03888889,0.86214817,0.09907407,0.3428148
2021-04-20,0.023950819,0.89644265,0.079557374,0.6352295
2021-04-21,0.045803573,0.8865357,0.067625,0.18216072
2021-04-22,0.0495,0.8548333,0.09566667,0.49723333
2021-04-23,0.033681817,0.8670682,0.09925,0.7212273
2021-04-26,0.03311765,0.88080394,0.08609804,0.48180392
2021-04-27,0.0277,0.88936,0.083,0.50536
2021-04-28,0.026435293,0.87455297,0.09897647,0.6073647
2021-04-29,0.03196,0.87664,0.09145,0.5173
2021-04-30,0.067704916,0.8585902,0.07365574,0.21304917
2021-05-03,0.04152,0.86278,0.09566,0.45838
2021-05-04,0.043151516,0.8684545,0.088484846,0.43072727
2021-05-05,0.034214284,0.8555357,0.11035714,0.6374643
2021-05-06,0.04217857,0.8587857,0.09896429,0.65510714
2021-05-07,0.040407408,0.86692595,0.09266666,0.50237036
2021-05-10,0.025388889,0.84966666,0.125,0.6675
2021-05-11,0.08812903,0.8556129,0.056225806,0.09229032
2021-05-12,0.062793106,0.85524136,0.082068965,0.21210344
2021-05-13,0.0274,0.8928,0.07993333,0.67053336
2021-05-14,0.04625,0.8665714,0.08735714,0.45946428
2021-05-17,0.042863637,0.8680909,0.08906818,0.46320453
2021-05-18,0.022727273,0.8839394,0.09327273,0.64224243
2021-05-19,0.04075,0.8711563,0.08821875,0.42865625
2021-05-20,0.025888888,0.8893704,0.08466667,0.4488889
2021-05-21,0.05365116,0.85846514,0.08788372,0.4825814
2021-05-24,0.027870968,0.8884839,0.08370968,0.49870968
2021-05-25,0.046666667,0.84007406,0.11329629,0.583963
2021-05-26,0.038814817,0.85437036,0.10688889,0.6552963
2021-05-27,0.021058824,0.8371177,0.14182353,0.81788236
2021-05-28,0.037444446,0.8797778,0.082611114,0.51694447
2021-06-01,0.02938889,0.87994444,0.09088889,0.7427222
2021-06-02,0.039473683,0.85742104,0.103026316,0.5938947
2021-06-03,0.0292,0.8612667,0.1098,0.712
2021-06-04,0.029837837,0.8681081,0.10205405,0.5247567
2021-06-07,0.028507246,0.87213045,0.09934782,0.6472174
2021-06-08,0.03607895,0.8678947,0.095973685,0.6162105
2021-06-09,0.03162963,0.83614814,0.13211112,0.8141111
2021-06-10,0.02484,0.89348,0.0818,0.41768
2021-06-11,0.02839394,0.8827576,0.08884849,0.5858485
2021-06-14,0.03387879,0.8701818,0.095818184,0.5370303
2021-06-15,0.026864866,0.8806216,0.09245946,0.67383784
2021-06-16,0.02125,0.8783611,0.10030556,0.7925
2021-06-17,0.0271,0.8741,0.0987,0.688
2021-06-18,0.020655172,0.86106896,0.11824138,0.792931
2021-06-21,0.026487805,0.87592685,0.097536586,0.5892195
2021-06-22,0.021589743,0.8757949,0.102692306,0.74228203
2021-06-23,0.031575758,0.8651212,0.10327273,0.5812727
2021-06-24,0.030181818,0.876,0.093795456,0.68870455
2021-06-25,0.04352941,0.8609412,0.095470585,0.5764706
2021-06-28,0.0234,0.87428,0.10232,0.79564
2021-06-29,0.0305,0.89166665,0.07777778,0.29802778
2021-06-30,0.032885715,0.8518,0.115342855,0.5414857
2021-07-01,0.024741935,0.8645484,0.110903226,0.74912906
2021-07-02,0.0211,0.8777,0.10115,0.6377
2021-07-06,0.06566667,0.855875,0.0785,0.31816667
2021-07-07,0.02603125,0.8470625,0.12684375,0.5122188
2021-07-08,0.03805,0.8897,0.07215,0.0826
2021-07-09,0.0394,0.86528,0.09536,0.45684
2021-07-12,0.02452381,0.87628573,0.09914286,0.6222857
2021-07-13,0.03435714,0.8840357,0.08153571,0.41225
2021-07-14,0.024810344,0.8878793,0.087344825,0.5476034
2021-07-15,0.031433333,0.85076666,0.11783333,0.6514
2021-07-16,0.030206896,0.88131034,0.08855172,0.64827585
2021-07-19,0.036071427,0.85914284,0.10478571,0.62785715
2021-07-20,0.03377143,0.88405716,0.08211429,0.43165714
2021-07-21,0.025454545,0.8805,0.09404545,0.50604546
2021-07-22,0.03410345,0.87993103,0.086034484,0.5711379
2021-07-23,0.02216,0.88188,0.096,0.63656
2021-07-26,0.021342106,0.9018421,0.07689474,0.5159737
2021-07-27,0.024214286,0.8871607,0.088732146,0.4672143
2021-07-28,0.032094117,0.8857647,0.08215294,0.46729413
2021-07-29,0.041266665,0.8653333,0.093266666,0.5325
2021-07-30,0.04513793,0.8487241,0.106206894,0.38610345
2021-08-02,0.048526317,0.8396842,0.11178947,0.6371579
2021-08-03,0.024636364,0.8888182,0.086636364,0.67254543
2021-08-04,0.048714284,0.85485715,0.096357144,0.39342856
2021-08-05,0.05003846,0.88015383,0.06976923,0.22407693
2021-08-06,0.04647059,0.86308825,0.09064706,0.40185294
2021-08-09,0.044363637,0.8758182,0.08009091,0.41418183
2021-08-10,0.024190476,0.8867619,0.08904762,0.64152384
2021-08-11,0.020863635,0.8863636,0.09263636,0.619
2021-08-12,0.04342857,0.89047617,0.06614286,0.34514287
2021-08-13,0.04256,0.8732,0.0842,0.40344
2021-08-16,0.0405,0.88625,0.0732,0.41265
2021-08-17,0.027954545,0.8765909,0.09536364,0.68277276
2021-08-18,0.052529413,0.8702353,0.077176474,0.16435294
